Method and Subset; Avg. Precision; Median Precision; Avg. Recall; Median Recall; Avg. SDE; Median SDE; Avg. BB-IOU; Median BB-IOU; Avg. IOU-20; Median IOU-20; Avg. IOU-15; Median IOU-15; Avg. IOU-10; Median IOU-10; Avg. IOU-5; Median IOU-5; Avg. IOU-0; Median IOU-0
Ori Spur Removal Strict 13;871,5557794;491,3893057;24,4785846;3,352428611;354,4474271;165,5171294;0,178350033;0,096278541;0,188289688;0,159780019;0,173834872;0,142782818;0,141285925;0,105603142;0,093385006;0,041931121;0,032593108;0,000873962
Ori Spur Removal Strict 14;1445,734329;460,948457;57,22126573;5,579554386;665,2499255;220,3208858;0,171140672;0,090623098;0,171186292;0,150341053;0,149482813;0,119394265;0,116893095;0,080761821;0,071388593;0,034047625;0,023794206;0,000790832
Ori Spur Removal Strict 15;4033,318535;518,5882927;35,3947397;3,07317209;1337,0639;84,57493845;0,151260339;0,040006871;0,151499821;0,09683307;0,136393951;0,070009173;0,11533584;0,034191456;0,083698247;0;0,039429785;0
avg;1267,920909;508,4625398;39,4338778;3,739791013;506,0062758;167,8055277;0,170561823;0,081227491;0,175902576;0,147033706;0,160964694;0,124353248;0,133417126;0,085935708;0,088218748;0,033082359;0,032382633;0,000510158
Ori Strict 1;460,75;188,2665286;122,591976;15,71745089;288,6470526;133,6665089;0,283296721;0,230184564;0,222702948;0,236295531;0,19797059;0,198711895;0,155864802;0,140571762;0,088324669;0,063989337;0,006502196;0,002672727
Ori Strict 2;267,5927216;131,5469168;164,8048125;23,36085902;211,7767914;116,5661164;0,283857073;0,249766855;0,218700551;0,230115494;0,193060779;0,197886359;0,150118466;0,143722815;0,08670553;0,072010952;0,005898028;0,002566326
Ori Strict 3;474,166102;200,8436835;156,2520279;20,24314163;311,3548483;143,9555347;0,260249826;0,212019156;0,203426246;0,214631581;0,178668281;0,181680989;0,137570718;0,125294516;0,075984746;0,057490397;0,005230869;0,002345767
Ori Strict 4;239,7487028;117,1744647;197,9694035;25,42069343;213,9758079;123,1033477;0,285232328;0,265963405;0,219993023;0,240871844;0,194055969;0,204728916;0,144446282;0,1404812;0,077046699;0,065356021;0,005436042;0,002494803
Ori Strict 5;329,8321518;142,7473419;157,2718938;27,80820734;239,6726494;126,3273796;0,293731875;0,269252665;0,215586839;0,234581494;0,188797757;0,19555451;0,143936835;0,131744457;0,077749976;0,060587587;0,005256574;0,00174115
Ori Strict 6;311,4161435;154,9582055;177,4264827;28,39227705;240,0447932;130,2705519;0,285118917;0,26856634;0,207518835;0,211865802;0,181336213;0,181154589;0,13876076;0,135975377;0,076735417;0,061980832;0,00535335;0,002302053
Ori Strict 7;245,3521627;135,4031127;187,6919557;25,30753683;211,8923243;122,9509723;0,283174005;0,273273515;0,223728966;0,246005665;0,198757549;0,211652831;0,158721109;0,16172516;0,093805545;0,078188885;0,00638448;0,002862936
Ori Strict 8;398,0438569;144,7983418;150,7260381;21,35658244;270,1363134;118,4878358;0,299279149;0,261217473;0,223710122;0,229303817;0,200690551;0,200161519;0,160717109;0,150696391;0,094967166;0,079562765;0,00761107;0,003188808
Ori Strict 9;237,5422118;136,6637743;209,3739144;34,61625863;218,2935065;128,316504;0,278763824;0,259739198;0,209339001;0,221119223;0,184220918;0,188311049;0,142229292;0,135163965;0,077816343;0,065620691;0,005369524;0,002506535
Ori Strict 10;224,8873128;113,8645823;235,6953942;30,86476227;224,4775338;111,8648007;0,280492884;0,244036031;0,215310749;0,228851441;0,188392503;0,196329814;0,148200687;0,146265949;0,084881277;0,072005543;0,005915525;0,003162513
Ori Strict 11;472,184013;174,9054705;159,862572;27,26922356;311,4504371;141,1785757;0,246217771;0,188417197;0,191452544;0,198345385;0,169740699;0,159114261;0,132972955;0,10581625;0,075785796;0,044514402;0,006226267;0,001719722
Ori Strict 12;226,4722583;114,6425308;186,3228489;29,84346634;201,80159;116,8150264;0,27588573;0,24470251;0,217050153;0,239840544;0,191939492;0,202857215;0,151756194;0,143393764;0,08900329;0,071103244;0,006087404;0,003075987
Ori Strict 13;438,5725868;136,6049358;123,4494326;23,1054464;277,3811603;107,4396748;0,294452847;0,267061635;0,229812194;0,250332123;0,204262909;0,211641116;0,158129406;0,149309265;0,088517878;0,072837621;0,006012447;0,003068158
Ori Strict 14;214,3248724;129,5740031;200,9025601;40,44215472;202,6581198;117,0235459;0,276045009;0,23953663;0,20495828;0,218658098;0,173580807;0,172371338;0,129220934;0,117301967;0,069460224;0,052429603;0,004835762;0,002219148
Ori Strict 15;614,753931;174,2188505;185,1422821;34,99932034;395,3812636;148,167034;0,233886901;0,169130095;0,175700692;0,183275265;0,151304108;0,14752732;0,11624074;0,095232158;0,068884067;0,042659911;0,004812463;0,001569874
avg;343,7092685;146,4141829;174,365573;27,24982539;254,5962794;125,7422272;0,277312324;0,242857818;0,211932743;0,22560622;0,186451942;0,189978915;0,144592419;0,134846333;0,081711242;0,064022519;0,005795467;0,002499767
