Method and Subset; Avg. Precision; Median Precision; Avg. Recall; Median Recall; Avg. SDE; Median SDE; Avg. BB-IOU; Median BB-IOU; Avg. IOU-20; Median IOU-20; Avg. IOU-15; Median IOU-15; Avg. IOU-10; Median IOU-10; Avg. IOU-5; Median IOU-5; Avg. IOU-0; Median IOU-0
Ori 3D Skel Spur Removal Non Strict 9;396,9138755;165,3517293;168,0250039;36,31718189;272,5034195;143,8104393;0,212185703;0,165637697;0,169338099;0,16656237;0,140360473;0,131259893;0,101269163;0,085006164;0,054473342;0,032154822;0,006470274;0,000930233
Ori 3D Skel Spur Removal Non Strict 10;384,8391414;156,9371524;198,5530758;32,98008961;283,2066341;143,3442541;0,226608405;0,176352713;0,173417064;0,166140076;0,14841171;0,135522315;0,112285335;0,100170607;0,062389125;0,041587828;0,007745038;0,001079929
Ori 3D Skel Spur Removal Non Strict 11;1490,650404;305,5521211;74,7997678;10,38282712;643,740188;120,817287;0,194322751;0,090343529;0,164997307;0,138666492;0,1446022;0,108485371;0,113498222;0,058483547;0,072758107;0,017608126;0,026195944;0
Ori 3D Skel Spur Removal Non Strict 12;486,6486743;194,9658966;138,0357745;18,26196026;295,3111791;146,4668777;0,218797185;0,156293737;0,186321882;0,182635618;0,158966498;0,141047421;0,121360357;0,092426551;0,072475861;0,03544622;0,019946513;0,00106159
Ori 3D Skel Spur Removal Non Strict 13;963,4750682;252,5765923;70,35497632;9,488314793;454,1595119;126,9484219;0,225437329;0,165106828;0,207132565;0,196365403;0,18196774;0,156591751;0,141300115;0,103554804;0,089637437;0,043136371;0,032500175;0,001123282
Ori 3D Skel Spur Removal Non Strict 14;312,3361903;149,099601;197,8937591;44,70639763;247,3184575;142,7235266;0,218188939;0,175179661;0,166282574;0,155812642;0,134092757;0,11922256;0,093033934;0,071256033;0,051064949;0,027212594;0,008483901;0,000861155
Ori 3D Skel Spur Removal Non Strict 15;2420,70405;272,1683258;94,43912977;11,10100472;1021,2407;131,6215604;0,177870908;0,081354968;0,146329592;0,120740145;0,124932817;0,089723715;0,096797159;0,052547892;0,059620997;0,012094327;0,021277099;0
avg;1230,882652;214,6099461;120,2499843;19,96219849;588,5519959;132,5171906;0,214592598;0,15257348;0,178202261;0,167328811;0,152771585;0,132724735;0,115342101;0,086338667;0,068402654;0,031969126;0,018975273;0,000750311
Ori 3D Skel Spur Removal Strict 1;1424,690524;590,0452659;13,09391036;1,82623476;462,1249398;85,92673958;0,162008259;0,04725084;0,172372126;0,125191131;0,160731895;0,106462029;0,13704234;0,064395941;0,094616276;0,013752633;0,045259199;0
Ori 3D Skel Spur Removal Strict 2;1073,397622;624,7283546;26,00882524;3,10072836;418,8227611;176,3892753;0,144200507;0,056874269;0,161757636;0,12776935;0,148409896;0,109562885;0,123980151;0,072217816;0,084009431;0,019173839;0,033299311;0
Ori 3D Skel Spur Removal Strict 3;1157,878473;642,7575774;19,28343402;1,594697668;367,3364666;86,2649268;0,140622551;0,034816397;0,154383236;0,09605952;0,142564329;0,080091887;0,120935516;0,052185341;0,085236987;0,000356888;0,045459275;0
